rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/iterations,time/fps,train/loss,train/explained_variance,train/value_loss,train/n_updates,train/learning_rate,train/clip_range,train/policy_gradient_loss,train/approx_kl,train/std,train/clip_fraction,train/entropy_loss
-4846.404000953125,483840,7560.0,1546,56,312,-0.025464024394750595,0.9978098273277283,0.0006635341929439973,550,5e-05,0.2,-0.004503263109881017,0.0060473327,0.9082837700843811,0.03965277777777778,-5.3022280053739195
-4825.586264923077,492480,7560.0,1574,57,312,0.0013524373061954975,0.9982596039772034,0.0006365253536798128,560,5e-05,0.2,-0.0038168596179672964,0.0051892954,0.9044886231422424,0.0333912037037037,-5.277310412018387
-4805.6879183030305,501120,7560.0,1602,58,312,0.011779829859733582,0.9980712532997131,0.0006546695340161764,570,5e-05,0.2,-0.0030470900832571916,0.004744764,0.9025420546531677,0.03796296296296296,-5.266188736315127
-4786.676261208956,509760,7560.0,1630,59,312,0.012592196464538574,0.9982982873916626,0.0006338400777356044,580,5e-05,0.2,-0.004200943560098057,0.0059801773,0.8993667960166931,0.045266203703703704,-5.254458712825069
-4768.137601338236,518400,7560.0,1657,60,312,-0.008421109989285469,0.9984469413757324,0.0006574429463297646,590,5e-05,0.2,-0.0031912126204136897,0.0046243095,0.8945724368095398,0.035520833333333335,-5.236991525226169
-4748.793584724638,527040,7560.0,1685,61,312,-0.015816550701856613,0.9985820651054382,0.0006210632154748223,600,5e-05,0.2,-0.0037714483035314415,0.004905657,0.8935092091560364,0.03238425925925926,-5.22502934632478
-4730.234785714287,535680,7560.0,1713,62,312,-0.0016774102114140987,0.9986205101013184,0.000576956875641675,610,5e-05,0.2,-0.003390347855683002,0.004203285,0.8885418772697449,0.02011574074074074,-5.210191735868101
-4695.667542861111,544320,7560.0,1742,63,312,0.0021545973140746355,0.9988458752632141,0.0005518397308898987,620,5e-05,0.2,-0.0032426374843689027,0.004700464,0.883882999420166,0.0296875,-5.189337466557821
-4677.06874679452,552960,7560.0,1769,64,312,-0.022010227665305138,0.999017059803009,0.0005113379007444665,630,5e-05,0.2,-0.004917971265881701,0.005061067,0.8797327280044556,0.03563657407407408,-5.167985173331367
-4660.626073648648,561600,7560.0,1797,65,312,0.002949720248579979,0.9991340041160583,0.0006533888712874614,640,5e-05,0.2,-0.004203536479078509,0.004823087,0.8796974420547485,0.03657407407407407,-5.158197790075231
-4666.380141453334,570240,7560.0,1824,66,312,-0.005006198771297932,0.9990108013153076,0.0008334672772778302,650,5e-05,0.2,-0.0030995703680026863,0.004458741,0.8777259588241577,0.02670138888888889,-5.153981050208762
-4672.795764197368,578880,7560.0,1851,67,312,-0.03567346930503845,0.987438440322876,0.002169363961158389,660,5e-05,0.2,-0.003732236694475567,0.005502786,0.8795815110206604,0.04099537037037037,-5.153811485855668
-4680.1226349740255,587520,7560.0,1879,68,312,-0.009265586733818054,0.9882078766822815,0.0022570743504480495,670,5e-05,0.2,-0.004921080125323324,0.005338597,0.8797356486320496,0.05284722222222222,-5.158854199515448
-4680.413362487179,596160,7560.0,1907,69,312,-0.0007695395615883172,0.9891036152839661,0.001941856310478653,680,5e-05,0.2,-0.004155985294772243,0.0056648017,0.8781811594963074,0.04172453703703704,-5.155804301014653
-4693.382833825,604800,7560.0,1937,70,312,-0.0022341201547533274,0.9895724058151245,0.0019744200295449613,690,5e-05,0.2,-0.003653671643179324,0.0044964356,0.8727462291717529,0.02949074074074074,-5.139843283406011
-4699.39556291358,613440,7560.0,1964,71,312,0.011606314219534397,0.993180513381958,0.0014467916405044013,700,5e-05,0.2,-0.003583638388491063,0.004889101,0.8744295835494995,0.03652777777777778,-5.1311418045891655
-4705.043911939024,622080,7560.0,1992,72,312,-0.0047162496484816074,0.9869692325592041,0.0014859743679537334,710,5e-05,0.2,-0.002796693693984438,0.0043214974,0.870854377746582,0.029328703703703704,-5.126459317383943
-4711.1707690361445,630720,7560.0,2019,73,312,-0.010048246942460537,0.9930538535118103,0.001485090750480864,720,5e-05,0.2,-0.00429530719752182,0.00570905,0.8668608665466309,0.047199074074074074,-5.109351835604067
-4715.960457607142,639360,7560.0,2047,74,312,0.004408583976328373,0.9924641251564026,0.001428037410864986,730,5e-05,0.2,-0.002722194261452252,0.0036839417,0.8644645810127258,0.02380787037037037,-5.094798648269088
-4721.203525905882,648000,7560.0,2074,75,312,0.0004098260251339525,0.9930084943771362,0.0015330659459922807,740,5e-05,0.2,-0.0028350651579805547,0.0045071156,0.8651180267333984,0.03826388888888889,-5.090571793450249
-4707.173092872094,656640,7560.0,2102,76,312,0.004261823371052742,0.9966190457344055,0.0012838759130358488,750,5e-05,0.2,-0.0033752800545793164,0.004590518,0.8633438348770142,0.031782407407407405,-5.087979024604515
-4693.161773488636,665280,7560.0,2131,77,312,0.004876233637332916,0.9986472129821777,0.0007285892359235462,760,5e-05,0.2,-0.0037090782362415834,0.0053366036,0.8593171238899231,0.0434837962962963,-5.073358952204386
-4697.906113247191,673920,7560.0,2159,78,312,0.013041899539530277,0.9924315214157104,0.0012643418225558923,770,5e-05,0.2,-0.004641332791911231,0.004855881,0.8599583506584167,0.04607638888888889,-5.065844609649093
-4684.319120555555,682560,7560.0,2187,79,312,-0.017488334327936172,0.9929657578468323,0.0012902793635105438,780,5e-05,0.2,-0.003616671224159223,0.005445664,0.8642668724060059,0.04873842592592593,-5.076644942672164
-4671.39230010989,691200,7560.0,2215,80,312,0.0015188789693638682,0.9985688328742981,0.0009173363313527295,790,5e-05,0.2,-0.005237992923637783,0.006150018,0.8615062832832336,0.06190972222222222,-5.08064626870332
-4657.093778565218,699840,7560.0,2243,81,311,0.020135702565312386,0.9981563091278076,0.0008809957807426582,800,5e-05,0.2,-0.004305078379499416,0.0055989088,0.8608934879302979,0.046296296296296294,-5.074397521195588
-4642.420241548387,708480,7560.0,2271,82,311,0.006104493513703346,0.9980423450469971,0.0007708817918858215,810,5e-05,0.2,-0.002896582075153236,0.004716249,0.857803225517273,0.030011574074074072,-5.065397672299985
-4645.758300031915,717120,7560.0,2298,83,311,-0.015130828134715557,0.9948889017105103,0.0012333177932089677,820,5e-05,0.2,-0.004239410103333217,0.004796671,0.8565270900726318,0.039837962962962964,-5.05484672581708
-4655.734254874999,725760,7560.0,2328,84,311,-0.0042032296769320965,0.9955548644065857,0.001360816849617684,830,5e-05,0.2,-0.003665213289118751,0.0047867512,0.8543106913566589,0.03949074074074074,-5.045596619005557
-4659.50592797938,734400,7560.0,2355,85,311,0.014440559782087803,0.99727463722229,0.0012638028966763092,840,5e-05,0.2,-0.004239309869741124,0.0051674685,0.8529713153839111,0.036585648148148145,-5.035612816280789
-4664.1501787551015,743040,7560.0,2383,86,311,-0.015727384015917778,0.9958975911140442,0.0014469897686460711,850,5e-05,0.2,-0.003178394868090335,0.0049605095,0.8536744713783264,0.03671296296296296,-5.0346683767106795
-4668.158303565656,751680,7560.0,2411,87,311,0.011722316965460777,0.9970513582229614,0.001464692772359639,860,5e-05,0.2,-0.0029909327676243803,0.005103441,0.8542173504829407,0.03673611111111111,-5.038330984822026
-4671.938440579999,760320,7560.0,2438,88,311,-0.013731828890740871,0.9970448017120361,0.0015987948794349061,870,5e-05,0.2,-0.002698894755707847,0.0049321484,0.8564087152481079,0.031041666666666665,-5.044097269199512
-4629.70659609,768960,7560.0,2466,89,311,-0.02390066348016262,0.9973941445350647,0.0014634180865875721,880,5e-05,0.2,-0.0031629745688082442,0.004436774,0.8550334572792053,0.029050925925925924,-5.046145012113783
-4592.68869557,777600,7560.0,2494,90,311,-0.02577369660139084,0.997994065284729,0.001443142067852292,890,5e-05,0.2,-0.005044309798093444,0.0049874736,0.8470468521118164,0.03653935185185185,-5.023885655226531
-4528.51571687,786240,7560.0,2523,91,311,-0.01366162858903408,0.997953474521637,0.0014671714968884503,900,5e-05,0.2,-0.002245922439766151,0.0042021014,0.8477561473846436,0.025532407407407406,-5.007743933642352
-4478.84778607,794880,7560.0,2551,92,311,0.01261751726269722,0.9986510872840881,0.0012712567392521089,910,5e-05,0.2,-0.002880989560443494,0.0045770505,0.8470691442489624,0.03071759259259259,-5.007803869600649
-4444.99023859,803520,7560.0,2579,93,311,-0.015513029880821705,0.9981403350830078,0.0015721717442782528,920,5e-05,0.2,-0.004007824775417922,0.005102298,0.8523894548416138,0.04386574074074074,-5.018647364863643
-4418.205399,812160,7560.0,2607,94,311,0.0006144569488242269,0.998370885848999,0.001492866321846291,930,5e-05,0.2,-0.0024368796200939903,0.005035221,0.8522966504096985,0.027094907407407408,-5.03015136188931
-4402.36232156,820800,7560.0,2635,95,311,0.008959321305155754,0.9982314109802246,0.0016318542765414654,940,5e-05,0.2,-0.0022821065511002586,0.0043396093,0.8517266511917114,0.021342592592592594,-5.030193115516945
-4394.33015175,829440,7560.0,2662,96,311,0.01042577438056469,0.998542070388794,0.0016502433426298752,950,5e-05,0.2,-0.0036308929838102175,0.0050900923,0.8486880660057068,0.03415509259259259,-5.022062452457569
-4387.601348859999,838080,7560.0,2690,97,311,-0.01437791995704174,0.9982857704162598,0.001896376239946457,960,5e-05,0.2,-0.0045877467816764555,0.0045465003,0.8474082350730896,0.03280092592592593,-5.0109517556649665
-4372.49110413,846720,7560.0,2719,98,311,-0.007776315789669752,0.9986768960952759,0.0016726289510606202,970,5e-05,0.2,-0.004032820666001902,0.0053840238,0.846828818321228,0.04365740740740741,-5.007696321628712
-4329.95399557,855360,7560.0,2747,99,311,-0.008198954164981842,0.9993533492088318,0.0024921853169885084,980,5e-05,0.2,-0.0043425926566123966,0.0048459102,0.8473644256591797,0.044537037037037035,-5.008944990723221
-4310.36887313,864000,7560.0,2774,100,311,-0.011899365112185478,0.9990083575248718,0.0036001554909765856,990,5e-05,0.2,-0.004373911459136892,0.0049164393,0.8486124277114868,0.03177083333333333,-5.012455740681401
-4303.91928443,872640,7560.0,2802,101,311,0.006903655361384153,0.9994415044784546,0.002288802576992937,1000,5e-05,0.2,-0.0038151480662808926,0.0054101134,0.8458700776100159,0.030289351851851852,-5.008857100804647
-4299.5676103099995,881280,7560.0,2830,102,311,-0.0074645294807851315,0.9988972544670105,0.0021516697086756014,1010,5e-05,0.2,-0.004870787640447142,0.00522376,0.8446653485298157,0.03612268518518519,-4.99939576043023
-4298.330747,889920,7560.0,2858,103,311,-0.006404681596904993,0.9991684556007385,0.0020922022823382305,1020,5e-05,0.2,-0.0034136971075915627,0.0051839123,0.8414160013198853,0.03715277777777778,-4.988569464506926
