time/total_timesteps,rollout/ep_len_mean,time/iterations,time/time_elapsed,rollout/ep_rew_mean,time/fps,train/clip_range,train/approx_kl,train/loss,train/learning_rate,train/explained_variance,train/value_loss,train/n_updates,train/std,train/clip_fraction,train/entropy_loss,train/policy_gradient_loss
682560,8640.0,59,1763,-1949.6686116538465,289,0.2,0.004040328,-0.4238370954990387,5e-05,0.9976375102996826,0.002431108594346033,770,2.100409507751465,0.02476851851851852,-8.245890480324075,-0.004603921296419921
691200,8640.0,60,1792,-1947.7956645569623,289,0.2,0.004486268,-0.41471025347709656,5e-05,0.9979263544082642,0.0021747973928641943,780,2.130887746810913,0.023657407407407408,-8.292650660055655,-0.0039917274761117165
699840,8640.0,61,1821,-1946.5645538,289,0.2,0.0046890536,-0.42345353960990906,5e-05,0.998218297958374,0.0021129985434796524,790,2.1558268070220947,0.023078703703703702,-8.335078730406584,-0.0036943395951486847
708480,8640.0,62,1850,-1945.115596049383,289,0.2,0.0049319835,-0.44584229588508606,5e-05,0.9980559945106506,0.002218109659065872,800,2.1843063831329346,0.025405092592592594,-8.38261098013984,-0.00456239936614616
717120,8640.0,63,1879,-1945.1663036341467,289,0.2,0.0045602564,-0.43045303225517273,5e-05,0.9983235001564026,0.0022243534529116007,810,2.2051236629486084,0.024305555555555556,-8.419732389096861,-0.004819226662662846
725760,8640.0,64,1907,-1945.24779660241,289,0.2,0.0047662146,-0.42300090193748474,5e-05,0.9972826242446899,0.0025600918164666465,820,2.2329158782958984,0.03119212962962963,-8.454409807699697,-0.005354174827225507
734400,8640.0,65,1937,-1945.6970934404765,289,0.2,0.003978717,-0.4276714324951172,5e-05,0.9973865747451782,0.002564961748473622,830,2.2575409412384033,0.02451388888888889,-8.49393990693269,-0.00529720659074546
743040,8640.0,66,1967,-1946.1617999529415,289,0.2,0.005492252,-0.43833380937576294,5e-05,0.9972471594810486,0.0028737747461397064,840,2.296360492706299,0.03537037037037037,-8.541981657522696,-0.005595315205864608
751680,8640.0,67,2001,-1945.0230228372095,289,0.2,0.0048570503,-0.43414655327796936,5e-05,0.9975120425224304,0.003327395302519478,850,2.3279643058776855,0.024363425925925927,-8.597531777134648,-0.003153763333404506
760320,8640.0,68,2031,-1942.8385243793105,289,0.2,0.005808388,-0.4176549017429352,5e-05,0.9986223578453064,0.0024264897535020416,860,2.365612030029297,0.032094907407407405,-8.651803606527823,-0.005195825737469864
768960,8640.0,69,2059,-1940.270339840909,289,0.2,0.0047162576,-0.4262160062789917,5e-05,0.9994376301765442,0.0016639834006868855,870,2.3822696208953857,0.03082175925925926,-8.685104784082483,-0.005143144634310846
777600,8640.0,70,2088,-1938.3895454382023,289,0.2,0.0050167777,-0.43840745091438293,5e-05,0.9995133876800537,0.0012424567932073302,880,2.3975443840026855,0.031157407407407408,-8.698635106263337,-0.005602119936159364
786240,8640.0,71,2116,-1936.3689077777778,289,0.2,0.0049589747,-0.4318249821662903,5e-05,0.9994555711746216,0.0012597051307696987,890,2.4172139167785645,0.0315625,-8.719522980584038,-0.0043003644978765534
794880,8640.0,72,2145,-1934.41333010989,289,0.2,0.0040439866,-0.4567473530769348,5e-05,0.9995536804199219,0.0013065057694135855,900,2.447512149810791,0.016307870370370372,-8.748822953259504,-0.003683625108010515
803520,8640.0,73,2175,-1932.314085923913,289,0.2,0.0045926888,-0.42569389939308167,5e-05,0.9995442628860474,0.0013663108956448182,910,2.4659156799316406,0.02136574074074074,-8.774987435517488,-0.0043130282710168374
812160,8640.0,74,2203,-1930.2458093548385,290,0.2,0.0044549634,-0.43073150515556335,5e-05,0.9994759559631348,0.0012133305395642916,920,2.4882004261016846,0.020983796296296296,-8.79955203798082,-0.0037005130401640027
820800,8640.0,75,2232,-1927.829121478723,290,0.2,0.0047362433,-0.4024173617362976,5e-05,0.9995200634002686,0.0012454239639488084,930,2.5209810733795166,0.026203703703703705,-8.832908903051306,-0.005260015681765422
829440,8640.0,76,2261,-1926.013954642105,290,0.2,0.0047834245,-0.4482036828994751,5e-05,0.999557375907898,0.0012792910268547497,940,2.5382347106933594,0.023344907407407408,-8.855244811729149,-0.005061023635789752
838080,8640.0,77,2290,-1923.7452997499997,290,0.2,0.004950207,-0.46779879927635193,5e-05,0.9995583295822144,0.001304494902163882,950,2.580275297164917,0.026956018518518518,-8.881330716874864,-0.004948999795165878
846720,8640.0,78,2318,-1921.4092062783502,290,0.2,0.005684222,-0.4636933505535126,5e-05,0.9995493292808533,0.0013408781536337403,960,2.5948362350463867,0.04189814814814815,-8.909931957103588,-0.005994756604820766
855360,8640.0,79,2347,-1919.0288456530611,290,0.2,0.0038875972,-0.44617414474487305,5e-05,0.9995667934417725,0.001344187208904057,970,2.624514579772949,0.01826388888888889,-8.9313086354291,-0.004560562329780724
864000,8640.0,80,2378,-1916.6525763232323,290,0.2,0.0046812147,-0.46632108092308044,5e-05,0.9995115399360657,0.0014017946883622143,980,2.6518683433532715,0.022974537037037036,-8.958965890672472,-0.004936782871631698
872640,8640.0,81,2407,-1914.0910205799998,290,0.2,0.0045906818,-0.44136372208595276,5e-05,0.9995618462562561,0.0013781287627191178,990,2.687751531600952,0.024270833333333332,-8.988185554786964,-0.003935198669701263
881280,8640.0,82,2436,-1905.8193465100003,290,0.2,0.004529753,-0.45750683546066284,5e-05,0.9995887279510498,0.0012121841058574823,1000,2.709665060043335,0.0225,-9.010503135963722,-0.004654753378557938
889920,8640.0,83,2464,-1897.4338023799999,290,0.2,0.00467714,-0.4407285749912262,5e-05,0.9995974898338318,0.0012745711720479583,1010,2.7442805767059326,0.024444444444444446,-9.035237556033664,-0.005293677065314518
898560,8640.0,84,2493,-1888.30106775,291,0.2,0.0047985543,-0.4531138241291046,5e-05,0.9995255470275879,0.0012612252029228128,1020,2.772519111633301,0.024363425925925927,-9.066274184474238,-0.004331158332147256
907200,8640.0,85,2521,-1880.4008234799999,291,0.2,0.004858707,-0.44773513078689575,5e-05,0.9994174242019653,0.0014416128675522352,1030,2.798017978668213,0.030972222222222224,-9.085005864037408,-0.005852715878540443
915840,8640.0,86,2550,-1868.8863766799998,291,0.2,0.004777284,-0.48531660437583923,5e-05,0.9979391098022461,0.0034322316911830396,1040,2.8383772373199463,0.03027777777777778,-9.119511376133671,-0.005356568785694738
924480,8640.0,87,2579,-1856.2674782499996,291,0.2,0.0045280633,-0.46169862151145935,5e-05,0.9995346069335938,0.001378394149079988,1050,2.8714020252227783,0.02784722222222222,-9.161450544993082,-0.0041785163996327255
933120,8640.0,88,2607,-1844.9796977899998,291,0.2,0.0045853048,-0.47208160161972046,5e-05,0.9996550679206848,0.0012519839117993358,1060,2.9109597206115723,0.018796296296296297,-9.19258679707845,-0.005264499160909542
