time/fps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,time/iterations,train/approx_kl,train/learning_rate,train/loss,train/explained_variance,train/clip_range,train/entropy_loss,train/value_loss,train/std,train/clip_fraction,train/n_updates,train/policy_gradient_loss
345,-23692.268487780002,1488,7560.0,2267883,119,0.00014746762,1e-05,0.0069631775841116905,0.9786713123321533,0.2,-5.657127141952515,0.03221131694735959,0.9953867793083191,0.0,5230,-0.0008499482022146454
345,-23692.268487780002,1500,7560.0,2272203,120,2.2647502e-05,1e-05,0.16475801169872284,0.9949788451194763,0.2,-5.6573400557041165,0.4487035144120455,0.9954364895820618,0.0,5240,-0.0002451698487880183
345,-23835.588663790004,1513,7560.0,2276523,121,0.000112680274,1e-05,0.02025921642780304,0.9887033700942993,0.2,-5.657570743560791,0.06683458364568651,0.9955070614814758,0.0,5250,-0.0007303146622524459
345,-23835.588663790004,1524,7560.0,2280843,122,8.333946e-05,1e-05,0.027014296501874924,0.9939702153205872,0.2,-5.657723581790924,0.12422039699740708,0.9954791069030762,0.0,5260,-0.0005081935088887768
345,-23936.039552019996,1538,7560.0,2285163,123,0.00017405857,1e-05,0.033239781856536865,0.9938284158706665,0.2,-5.657471019029617,0.11175390798598528,0.9954016804695129,0.0,5270,-0.0006942689306498106
345,-23936.039552019996,1549,7560.0,2289483,124,8.183223e-05,1e-05,0.024822933599352837,0.9927473664283752,0.2,-5.657169145345688,0.10636269133538008,0.9953103065490723,0.0,5280,-0.0004497669904783397
345,-24107.279748800007,1562,7560.0,2293803,125,0.00035407534,1e-05,0.11661957204341888,0.989100456237793,0.2,-5.656835573911667,0.32684105448424816,0.9952617883682251,0.0,5290,-0.0014225669262042384
345,-24272.927519759996,1575,7560.0,2298123,126,0.00019555708,1e-05,0.017004813998937607,0.9857403635978699,0.2,-5.65673651099205,0.07186944438144564,0.9952736496925354,0.0,5300,-0.0010043900931123062
345,-24272.927519759996,1587,7560.0,2302443,127,9.9380675e-05,1e-05,0.08623112738132477,0.994317352771759,0.2,-5.656714308261871,0.21725844945758582,0.9952234625816345,0.0,5310,-0.0004703909086241409
345,-24449.434923830006,1600,7560.0,2306763,128,0.0002948413,1e-05,0.02320905402302742,0.9924257397651672,0.2,-5.656584125757218,0.07504153065383434,0.9952356219291687,0.0,5320,-0.0010432719520732103
345,-24449.434923830006,1611,7560.0,2311083,129,7.940753e-05,1e-05,0.04194510728120804,0.9961234331130981,0.2,-5.65664593577385,0.15245931465178728,0.9952340722084045,0.0,5330,-0.00041052848724776325
345,-24616.946845340004,1624,7560.0,2315403,130,0.00021889445,1e-05,0.05978825315833092,0.9935551881790161,0.2,-5.656516534090042,0.17693705139681698,0.9951317310333252,0.0,5340,-0.0008272976670677501
