time/iterations,rollout/ep_rew_mean,time/fps,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,train/std,train/clip_range,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/n_updates,train/value_loss,train/clip_fraction,train/loss,train/approx_kl,train/learning_rate
44,-22635.333386419996,305,380160,7560.0,1245,1.002587914466858,0.2,-5.6857234979558875,-0.0032372555015953604,0.9934700131416321,430,0.0011225945365084852,0.027199074074074073,-0.024509932845830917,0.004440802,5e-05
45,-22460.75293278431,305,388800,7560.0,1272,1.0018523931503296,0.2,-5.683091655660559,-0.003271596336875249,0.995061993598938,440,0.0010629200714929203,0.022974537037037036,-0.01771845854818821,0.004405062,5e-05
46,-22288.36576794231,305,397440,7560.0,1300,1.0019992589950562,0.2,-5.681239909419307,-0.004370877983531466,0.9946328401565552,450,0.001105189735740337,0.03133101851851852,-0.022293975576758385,0.0044158986,5e-05
47,-22212.84927724528,305,406080,7560.0,1327,1.0045098066329956,0.2,-5.6878906748029925,-0.003912813521024805,0.9951214790344238,460,0.0013657913795517137,0.027662037037037037,-0.008008145727217197,0.0039191195,5e-05
48,-22132.357832129626,306,414720,7560.0,1354,1.0063560009002686,0.2,-5.695765192243788,-0.00356233151698554,0.9943512678146362,470,0.0015271784913407087,0.026539351851851852,-0.008471840992569923,0.003877182,5e-05
49,-21930.809233089287,305,423360,7560.0,1384,1.0125411748886108,0.2,-5.711932159706398,-0.007275272614357097,0.9944766163825989,480,0.002307305038277129,0.05894675925925926,-0.0011337380856275558,0.0061063124,5e-05
50,-21807.742196614032,305,432000,7560.0,1411,1.0132408142089844,0.2,-5.726608763094301,-0.00414156611525902,0.9958822131156921,490,0.001554553863200083,0.034340277777777775,-0.01036106888204813,0.0049671344,5e-05
51,-21718.090078241377,306,440640,7560.0,1438,1.0160197019577026,0.2,-5.732311972865352,-0.0053729837663747644,0.9969310164451599,500,0.0011151216140974107,0.035902777777777777,0.006204746663570404,0.0049039586,5e-05
52,-21612.091010881355,306,449280,7560.0,1466,1.0172233581542969,0.2,-5.739760650352196,-0.004189564006885997,0.9969958662986755,510,0.0008349472770243193,0.028680555555555556,-0.014056514948606491,0.004471444,5e-05
53,-21457.6721282,306,457920,7560.0,1494,1.0194677114486694,0.2,-5.745777608023749,-0.005452557058521995,0.9974839091300964,520,0.0009877583928324318,0.04040509259259259,0.011601834557950497,0.004770101,5e-05
54,-21318.666651,306,466560,7560.0,1522,1.0235414505004883,0.2,-5.759523126460888,-0.0034729624873337645,0.9975945949554443,530,0.00120175703222803,0.0215625,-0.001560835400596261,0.0043305852,5e-05
55,-21242.385813499997,306,475200,7560.0,1550,1.0291988849639893,0.2,-5.778301443170618,-0.003431865250760758,0.9957985281944275,540,0.0010959493603419374,0.027025462962962963,-0.005862148478627205,0.004539511,5e-05
56,-21051.188823031247,306,483840,7560.0,1579,1.0323342084884644,0.2,-5.795104500099464,-0.00451086597137705,0.9972021579742432,550,0.0016006013095223655,0.03921296296296296,-0.03067387267947197,0.0054310807,5e-05
57,-20931.823008707688,306,492480,7560.0,1607,1.0339221954345703,0.2,-5.804282422595554,-0.0036520543980791613,0.9973860383033752,560,0.0013810685137071199,0.03679398148148148,0.026901815086603165,0.004690668,5e-05
58,-20810.775128924237,306,501120,7560.0,1635,1.0332283973693848,0.2,-5.80609154453984,-0.004457481000227509,0.996472179889679,570,0.0015871143329207337,0.029386574074074075,0.00043374267988838255,0.004856388,5e-05
59,-20686.721309388056,306,509760,7560.0,1663,1.0347578525543213,0.2,-5.808087507177282,-0.004644041773000801,0.9970914721488953,580,0.0011964147447185867,0.038738425925925926,-0.027013352140784264,0.0050788024,5e-05
60,-20557.9011177647,306,518400,7560.0,1691,1.0365599393844604,0.2,-5.814299090350116,-0.005520913997596061,0.997404932975769,590,0.001161430676584132,0.03962962962962963,0.0032174449879676104,0.005414825,5e-05
61,-20433.413324173907,306,527040,7560.0,1719,1.0399365425109863,0.2,-5.824167150921292,-0.004084883191174379,0.9973456263542175,600,0.0018057969475544437,0.027731481481481482,-0.004031615797430277,0.004628952,5e-05
62,-20342.477119742853,306,535680,7560.0,1747,1.0453592538833618,0.2,-5.841759768238774,-0.005329224757022328,0.9963984489440918,610,0.0020182658318016263,0.041157407407407406,-0.015998106449842453,0.004958265,5e-05
63,-20129.505559375,306,544320,7560.0,1777,1.0462154150009155,0.2,-5.854087139765421,-0.004712941660200832,0.9977998733520508,620,0.002148135936413719,0.032164351851851854,-0.012994627468287945,0.0043585496,5e-05
64,-20032.808379917806,306,552960,7560.0,1805,1.0443332195281982,0.2,-5.850793290314851,-0.004938838821318414,0.9973302483558655,630,0.001279935404050371,0.03181712962962963,0.0014871316961944103,0.0049320674,5e-05
65,-19926.20052262162,306,561600,7560.0,1834,1.05117928981781,0.2,-5.862454843521118,-0.0042133936713691115,0.9974086284637451,640,0.0019246935579684322,0.032199074074074074,-0.0037137153558433056,0.004655062,5e-05
