time/total_timesteps,time/time_elapsed,time/iterations,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/explained_variance,train/clip_range,train/policy_gradient_loss,train/learning_rate,train/n_updates,train/value_loss,train/std,train/clip_fraction,train/approx_kl,train/entropy_loss
950400,3787,110,250,7560.0,-9109.06234962,-0.6321898102760315,0.9993997812271118,0.2,-0.0034084324362360077,5e-05,1090,0.0005428031171538384,5.621071815490723,0.016574074074074074,0.004224672,-12.552496217091878
959040,3819,111,251,7560.0,-9066.97532281,-0.6251591444015503,0.9994308948516846,0.2,-0.004239074719759325,5e-05,1100,0.0004498665025608649,5.7131476402282715,0.025451388888888888,0.0049339435,-12.61344666728267
967680,3852,112,251,7560.0,-8980.20171635,-0.642920970916748,0.9986475706100464,0.2,-0.004708664022834489,5e-05,1110,0.0005999043865961506,5.781396389007568,0.041944444444444444,0.0051959734,-12.671230359960486
976320,3885,113,251,7560.0,-8983.73295126,-0.6245721578598022,0.998768150806427,0.2,-0.003332254403891663,5e-05,1120,0.00048591146902051855,5.863554000854492,0.025613425925925925,0.005034955,-12.723703213444463
984960,3917,114,251,7560.0,-8931.880905859998,-0.637749969959259,0.9995081424713135,0.2,-0.0033747553028580213,5e-05,1130,0.00038115678710811253,5.949185848236084,0.02795138888888889,0.0043985373,-12.7802201045001
993600,3949,115,251,7560.0,-8905.23099986,-0.6442530155181885,0.9995874166488647,0.2,-0.004979899829184568,5e-05,1140,0.0002807040448425579,6.017155170440674,0.03868055555555556,0.0053497935,-12.832332286834717
1002240,3982,116,251,7560.0,-8815.853097079998,-0.6556163430213928,0.9995967745780945,0.2,-0.004926280441383521,5e-05,1150,0.00029414140623649235,6.117954254150391,0.035659722222222225,0.00530782,-12.887981654979564
1010880,4014,117,251,7560.0,-8760.76697028,-0.6589527726173401,0.9995317459106445,0.2,-0.003098258245305193,5e-05,1160,0.00029965258969308773,6.204726219177246,0.023726851851851853,0.0046628597,-12.948002255051223
1019520,4046,118,251,7560.0,-8617.48150026,-0.659392237663269,0.9995854496955872,0.2,-0.0030277411044678753,5e-05,1170,0.00027460525248898196,6.275624752044678,0.01570601851851852,0.0040830937,-12.998794469480162
1028160,4080,119,251,7560.0,-8461.27304636,-0.6479871273040771,0.9995812177658081,0.2,-0.0037794941646495353,5e-05,1180,0.00020250971386472143,6.356037616729736,0.026979166666666665,0.005284014,-13.046838242566144
1036800,4112,120,252,7560.0,-8424.706209599999,-0.6504673361778259,0.9995254874229431,0.2,-0.002413647886607106,5e-05,1190,0.00022748312658492337,6.458067893981934,0.016087962962962964,0.0036537992,-13.103719475357622
1045440,4145,121,252,7560.0,-8407.19569742,-0.6641454696655273,0.9996752142906189,0.2,-0.0031586922515459636,5e-05,1200,0.00021311307293621617,6.526895999908447,0.018541666666666668,0.0038074034,-13.155426747357403
1054080,4176,122,252,7560.0,-8388.977893419999,-0.6433823704719543,0.9996436834335327,0.2,-0.0040044609945336426,5e-05,1210,0.0002218180695490446,6.6207380294799805,0.03214120370370371,0.005003326,-13.204140750743724
1062720,4208,123,252,7560.0,-8371.688955419999,-0.6822396516799927,0.9995836019515991,0.2,-0.005922765298574059,5e-05,1220,0.0002603328079190019,6.7349324226379395,0.03693287037037037,0.005623251,-13.266646868387857
1071360,4241,124,252,7560.0,-8283.33537419,-0.6683198809623718,0.9996377229690552,0.2,-0.002744029476652267,5e-05,1230,0.00018708654381852183,6.83753776550293,0.017361111111111112,0.0041472455,-13.33067289211132
1080000,4272,125,252,7560.0,-8264.756939800001,-0.6893339157104492,0.9996535778045654,0.2,-0.0033685142317510866,5e-05,1240,0.00019349400945766656,6.958089351654053,0.025983796296296297,0.0048629716,-13.395077246206778
