rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/total_timesteps,time/iterations,time/time_elapsed,train/loss,train/entropy_loss,train/explained_variance,train/value_loss,train/clip_fraction,train/clip_range,train/std,train/learning_rate,train/n_updates,train/policy_gradient_loss,train/approx_kl
-6161.053940440001,7560.0,299,2592000,140,4041,0.007681992370635271,-2.6696105243541575,0.9997807145118713,0.00036206364156290266,0.05466435185185185,0.2,0.5222015976905823,5e-05,2984,-0.0032461694479678518,0.0068959906
-6159.017959820001,7560.0,299,2600640,141,4071,-0.008123897947371006,-2.6585966691264398,0.9997305870056152,0.00035597079780051933,0.07276620370370371,0.2,0.5233042240142822,5e-05,2994,-0.0035725249150009067,0.006712691
-6157.641778980001,7560.0,299,2609280,142,4099,-0.0027553450781852007,-2.6440472044768155,0.999800443649292,0.0003037914488231763,0.05900462962962963,0.2,0.5200647115707397,5e-05,3004,-0.002166723618801269,0.007152694
-6155.8506553100015,7560.0,299,2617920,143,4128,0.011078356765210629,-2.615741189674095,0.9996920824050903,0.0003133528599088701,0.0640625,0.2,0.5167901515960693,5e-05,3014,-0.0032188180766792762,0.0061912597
-6153.955494370002,7560.0,299,2626560,144,4156,-0.01518556009978056,-2.601317468572546,0.999742329120636,0.0004012747101444768,0.08216435185185185,0.2,0.5164133906364441,5e-05,3024,-0.004440280537086504,0.007334399
-6152.214823110003,7560.0,299,2635200,145,4184,-0.011862566694617271,-2.591751260051021,0.999808132648468,0.00024107034952235322,0.08104166666666666,0.2,0.5156294703483582,5e-05,3034,-0.004835934221606564,0.008033533
-6150.3699072300005,7560.0,299,2643840,146,4213,-0.004444291349500418,-2.5747537242041694,0.9997017979621887,0.0005067667316675566,0.064375,0.2,0.5133395791053772,5e-05,3044,-0.0027306100274263707,0.00625767
-6148.029123969999,7560.0,299,2652480,147,4243,-0.007870141416788101,-2.563302685596325,0.9997947812080383,0.0004074324468739279,0.07152777777777777,0.2,0.5128110647201538,5e-05,3054,-0.0035739279535806014,0.006922521
-6145.9157009599985,7560.0,299,2661120,148,4271,0.018370933830738068,-2.5630231618881227,0.9997557997703552,0.00039605194508718946,0.07023148148148148,0.2,0.5131843686103821,5e-05,3064,-0.003074129484076467,0.006572635
-6143.63578721,7560.0,299,2669760,149,4299,0.0024590888060629368,-2.553418887809471,0.9997395873069763,0.0003312110874577667,0.063125,0.2,0.510439932346344,5e-05,3074,-0.0030610583439745283,0.0064472673
