time/iterations,time/total_timesteps,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/time_elapsed,train/learning_rate,train/clip_range,train/explained_variance,train/value_loss,train/n_updates,train/approx_kl,train/policy_gradient_loss,train/clip_fraction,train/entropy_loss,train/loss,train/std
78,673920,-19314.294816102563,312,8640.0,2158,5e-05,0.2,0.9988515377044678,0.002145291012323772,770,0.005155402,-0.005086377378967073,0.031967592592592596,-8.053256446697095,-0.39871612191200256,2.0345163345336914
79,682560,-19309.025537936708,312,8640.0,2186,5e-05,0.2,0.9985795617103577,0.003629643908115449,780,0.005686087,-0.0059592036163020464,0.03523148148148148,-8.10806974057798,-0.420801043510437,2.0732357501983643
80,691200,-19298.0449499125,312,8640.0,2213,5e-05,0.2,0.9959753155708313,0.004736634201490906,790,0.0048844083,-0.003981557524142166,0.022175925925925925,-8.169781614939371,-0.4095768630504608,2.104257345199585
81,699840,-19295.816138382714,312,8640.0,2241,5e-05,0.2,0.996626615524292,0.0049323745249529125,800,0.004144831,-0.0037773436211325506,0.022546296296296297,-8.229005397514062,-0.4148350954055786,2.1389236450195312
82,708480,-19300.942079085362,312,8640.0,2269,5e-05,0.2,0.9977030158042908,0.0033290651991652945,810,0.004510762,-0.004662883003345794,0.029861111111111113,-8.284343273021557,-0.42633184790611267,2.169828414916992
83,717120,-19305.267268807227,312,8640.0,2296,5e-05,0.2,0.9971120357513428,0.0045556318063150955,820,0.005008847,-0.005065854181259595,0.02675925925925926,-8.339449640203405,-0.4256194829940796,2.2019271850585938
84,725760,-19315.304591999997,312,8640.0,2324,5e-05,0.2,0.997564435005188,0.003784547944949871,830,0.0048012333,-0.005342046215750829,0.03450231481481481,-8.39168773651123,-0.4161616563796997,2.229987621307373
85,734400,-19317.24362223529,312,8640.0,2352,5e-05,0.2,0.9970218539237976,0.005968291184140577,840,0.0048672063,-0.004389375648633749,0.02533564814814815,-8.440705248514812,-0.44319939613342285,2.2602460384368896
86,743040,-19326.542341558135,312,8640.0,2380,5e-05,0.2,0.9977626800537109,0.0036726644391159493,850,0.0037969025,-0.0041464008635806815,0.021840277777777778,-8.493702800892018,-0.4508431851863861,2.2924294471740723
87,751680,-19322.011455528733,312,8640.0,2408,5e-05,0.2,0.998024046421051,0.0033698274678964583,860,0.005678101,-0.004681019864769445,0.03462962962962963,-8.545695074575919,-0.44191211462020874,2.3240699768066406
88,760320,-19343.559718681816,312,8640.0,2436,5e-05,0.2,0.9979172945022583,0.003354375592036242,870,0.004664001,-0.004172168933889932,0.02440972222222222,-8.592153319606075,-0.4392760396003723,2.3541228771209717
89,768960,-19337.46778452809,312,8640.0,2464,5e-05,0.2,0.9968084096908569,0.005252497468695596,880,0.00439867,-0.004202613292641386,0.018969907407407408,-8.636909414927164,-0.4468885362148285,2.386058807373047
90,777600,-19318.01131462222,311,8640.0,2492,5e-05,0.2,0.998190701007843,0.0032160273531486316,890,0.0049246,-0.003737641861834736,0.029872685185185186,-8.680261404955829,-0.423260897397995,2.4134066104888916
91,786240,-19292.242509626372,311,8640.0,2520,5e-05,0.2,0.9989578127861023,0.002194441357989692,900,0.005412145,-0.003936785241519964,0.032303240740740743,-8.722721388781512,-0.41793450713157654,2.4479317665100098
92,794880,-19269.794126728262,311,8640.0,2548,5e-05,0.2,0.9995708465576172,0.0017988644640340849,910,0.00585757,-0.005559888273581034,0.03690972222222222,-8.759020067850749,-0.45322564244270325,2.475656747817993
93,803520,-19246.364668333335,311,8640.0,2575,5e-05,0.2,0.9996325373649597,0.0016303274470502165,920,0.0060607363,-0.005173897361382842,0.040289351851851854,-8.7849194350066,-0.45653581619262695,2.4974241256713867
94,812160,-19224.1464576383,311,8640.0,2603,5e-05,0.2,0.9996026158332825,0.001480231400432617,930,0.004178247,-0.00354334591905138,0.023194444444444445,-8.803624079668964,-0.45114392042160034,2.5149927139282227
95,820800,-19202.1712558,311,8640.0,2631,5e-05,0.2,0.9995833039283752,0.001742940056655142,940,0.0050248746,-0.00521316832345393,0.03395833333333333,-8.822057752962465,-0.45620983839035034,2.541349172592163
96,829440,-19179.126065510416,311,8640.0,2659,5e-05,0.2,0.9996433258056641,0.0014089265526962226,950,0.004829593,-0.004319553138446753,0.02306712962962963,-8.8438151606807,-0.4546394646167755,2.570408821105957
97,838080,-19155.999022206186,311,8640.0,2687,5e-05,0.2,0.9996163845062256,0.0015916777546603784,960,0.005191541,-0.005977046948650645,0.03875,-8.863048082281042,-0.4653845429420471,2.5934507846832275
98,846720,-19130.497150530613,311,8640.0,2714,5e-05,0.2,0.9996855854988098,0.0015322502563638544,970,0.0047687627,-0.005208221232449567,0.031782407407407405,-8.88819622958148,-0.43406710028648376,2.6209094524383545
99,855360,-19105.32469520202,311,8640.0,2742,5e-05,0.2,0.9996865391731262,0.001377867395705026,980,0.0039012202,-0.0034535496468069376,0.01712962962962963,-8.914911932768645,-0.453975111246109,2.649907350540161
100,864000,-19077.96453203,311,8640.0,2770,5e-05,0.2,0.9996595978736877,0.0014099480301417687,990,0.0045260675,-0.00557654253276134,0.025810185185185186,-8.93186929208261,-0.45063480734825134,2.6721949577331543
101,872640,-18993.235358930004,311,8640.0,2798,5e-05,0.2,0.9996784329414368,0.0012193176552170405,1000,0.004126948,-0.004511852038127405,0.017997685185185186,-8.948232207121672,-0.4452721178531647,2.7045421600341797
102,881280,-18905.44383247,311,8640.0,2825,5e-05,0.2,0.999671995639801,0.0011458878767142003,1010,0.004538592,-0.005071663953174182,0.032511574074074075,-8.963762206324825,-0.46221816539764404,2.7326598167419434
103,889920,-18807.504193250003,311,8640.0,2853,5e-05,0.2,0.999691367149353,0.0010694561495135228,1020,0.0040711304,-0.0041083739403014385,0.022094907407407407,-8.972640154096815,-0.4595092236995697,2.753814935684204
104,898560,-18694.15336882,311,8640.0,2880,5e-05,0.2,0.999675989151001,0.0011693552654253802,1030,0.0054234443,-0.005189267042679367,0.0340162037037037,-8.99006744949906,-0.4468885064125061,2.78865909576416
105,907200,-18572.085964179998,311,8640.0,2908,5e-05,0.2,0.9996863603591919,0.0013111589376866403,1040,0.004569642,-0.005417681453335616,0.03059027777777778,-9.016933304822004,-0.44727623462677,2.8208346366882324
106,915840,-18442.91289246,311,8640.0,2936,5e-05,0.2,0.9997466206550598,0.000994066256033774,1050,0.004631953,-0.004708216329346653,0.02428240740740741,-9.041973682686134,-0.4516870081424713,2.8503100872039795
107,924480,-18325.06552249,311,8640.0,2963,5e-05,0.2,0.99968022108078,0.001356291246764293,1060,0.0047245324,-0.004063077205015967,0.025798611111111112,-9.070279756475378,-0.45080193877220154,2.8915462493896484
108,933120,-18218.774983630003,311,8640.0,2991,5e-05,0.2,0.9997135400772095,0.0010785005183640384,1070,0.0036348207,-0.004131016473941229,0.017824074074074076,-9.100954288906522,-0.4563484489917755,2.9231300354003906
109,941760,-18114.28687599,311,8640.0,3019,5e-05,0.2,0.9996823072433472,0.0011648040555667614,1080,0.0048713693,-0.004131739530194965,0.026284722222222223,-9.125404550764296,-0.47011226415634155,2.9496476650238037
110,950400,-18021.188811400003,311,8640.0,3047,5e-05,0.2,0.9997080564498901,0.001002593203555551,1090,0.0037699328,-0.004298933128377906,0.016863425925925928,-9.150039321758129,-0.4666264057159424,2.9810128211975098
111,959040,-17940.852517180003,311,8640.0,3075,5e-05,0.2,0.999708354473114,0.0011424359188553085,1100,0.004863957,-0.0042567213338420345,0.024224537037037037,-9.17448843991315,-0.48551133275032043,3.019335985183716
112,967680,-17868.64278892,311,8640.0,3103,5e-05,0.2,0.9997243285179138,0.0009665210243029933,1110,0.0050568706,-0.004401892430183512,0.03613425925925926,-9.203434351461905,-0.4826003611087799,3.0493178367614746
113,976320,-17806.366452700004,311,8640.0,3130,5e-05,0.2,0.9997254014015198,0.0010890377475880086,1120,0.004753783,-0.005045496679980446,0.026018518518518517,-9.222529970098424,-0.4770648777484894,3.0795202255249023
114,984960,-17743.69055214,311,8640.0,3158,5e-05,0.2,0.9997430443763733,0.0010086729900945944,1130,0.004805834,-0.004891957012522552,0.03017361111111111,-9.235726011770742,-0.45454543828964233,3.1103968620300293
115,993600,-17682.77123803,311,8640.0,3186,5e-05,0.2,0.9997215867042542,0.000935931223104018,1140,0.004699456,-0.005243075361337375,0.020439814814814813,-9.253098788791233,-0.4704354703426361,3.1392502784729004
116,1002240,-17629.247170839997,311,8640.0,3214,5e-05,0.2,0.999739408493042,0.0008798665416004412,1150,0.0051124482,-0.005328949895963349,0.027916666666666666,-9.270603288721155,-0.46839433908462524,3.1693077087402344
117,1010880,-17577.47642176,311,8640.0,3242,5e-05,0.2,0.9996408820152283,0.001300647099269554,1160,0.0048449994,-0.005157595304254857,0.026354166666666668,-9.29198648099546,-0.47473669052124023,3.209150552749634
118,1019520,-17532.3625655,311,8640.0,3270,5e-05,0.2,0.9997009038925171,0.0009852952099862267,1170,0.0045051672,-0.004213529079117709,0.024108796296296295,-9.314506008713334,-0.47886422276496887,3.243224620819092
119,1028160,-17487.405309280002,311,8640.0,3297,5e-05,0.2,0.999631941318512,0.0010252091079234595,1180,0.004116373,-0.0032939987607231293,0.02171296296296296,-9.342763286873147,-0.4729742109775543,3.290853977203369
120,1036800,-17435.33972849,311,8640.0,3325,5e-05,0.2,0.9997172355651855,0.0010507573994928627,1190,0.0046427287,-0.004301275560735829,0.022847222222222224,-9.375874212053088,-0.47641196846961975,3.333336353302002
121,1045440,-17387.814952520002,311,8640.0,3353,5e-05,0.2,0.9997410774230957,0.0009213693320095815,1200,0.005149074,-0.005382532523255106,0.03409722222222222,-9.41072552645648,-0.4773769676685333,3.383105993270874
122,1054080,-17352.18124242,311,8640.0,3381,5e-05,0.2,0.999714732170105,0.0008893631940224656,1210,0.0046465695,-0.004624638573128592,0.03203703703703704,-9.449564861721463,-0.46059635281562805,3.430431604385376
123,1062720,-17309.856775469998,311,8640.0,3408,5e-05,0.2,0.9995338320732117,0.0011080230242805555,1220,0.005165566,-0.005365379013259102,0.03424768518518519,-9.486791349340368,-0.4888876974582672,3.475440502166748
124,1071360,-17277.94353356,311,8640.0,3436,5e-05,0.2,0.9996684789657593,0.0008835857907413608,1230,0.005134299,-0.00619950104608304,0.03415509259259259,-9.535309193929036,-0.4967532455921173,3.5350825786590576
125,1080000,-17252.86959173,311,8640.0,3464,5e-05,0.2,0.9994379878044128,0.0010481527041971545,1240,0.004333347,-0.003196166611655995,0.022233796296296297,-9.587811340049461,-0.49767449498176575,3.5930838584899902
126,1088640,-17217.45826042,311,8640.0,3491,5e-05,0.2,0.9995603561401367,0.0011007388254317145,1250,0.0042579523,-0.004219318258024201,0.024652777777777777,-9.625016489382144,-0.4995139241218567,3.629263401031494
127,1097280,-17190.39817037,311,8640.0,3519,5e-05,0.2,0.9996482133865356,0.0010340365167940035,1260,0.00444469,-0.003785640518353493,0.025231481481481483,-9.662744602627225,-0.48186132311820984,3.6867785453796387
