time/time_elapsed,time/fps,time/iterations,time/total_timesteps,train/policy_gradient_loss,train/clip_range,train/loss,train/clip_fraction,train/std,train/entropy_loss,rollout/ep_len_mean,train/n_updates,rollout/ep_rew_mean,train/explained_variance,train/approx_kl,train/learning_rate,train/value_loss
6716,295,460,1987200,-0.0007000588633887031,0.2,-0.07091700285673141,4.5955882352941176e-05,1.1107014417648315,-6.091738015062669,7560.0,4590,-7280.9727431400015,0.9994503855705261,0.00086598226,1e-05,0.0005330583775289329
6731,295,461,1991520,-0.00212171899038367,0.2,-0.0396624393761158,0.0034696691176470586,1.1107351779937744,-6.093897389664369,7560.0,4600,-7282.186454690002,0.9910746216773987,0.0025530935,1e-05,0.000561314735087388
6746,295,462,1995840,-0.0035167056892532857,0.2,-0.07183001190423965,0.008754595588235294,1.1116526126861572,-6.095613287476932,7560.0,4610,-7285.648964270002,0.9993925094604492,0.003686744,1e-05,0.0007485109579112545
6760,295,463,2000160,-0.0016420511765104224,0.2,-0.044897764921188354,0.001723345588235294,1.1112806797027588,-6.0966123728191155,7560.0,4620,-7285.648964270002,0.9991636276245117,0.0025398794,1e-05,0.0003603130729863872
6775,295,464,2004480,-0.0025416684336960317,0.2,-0.07592658698558807,0.0020909926470588235,1.111436367034912,-6.096080164348378,7560.0,4630,-7261.309134860002,0.9992953538894653,0.0030496414,1e-05,0.0007270367988573579
6789,295,465,2008800,-0.0016007219598738148,0.2,-0.06245812401175499,0.0002068014705882353,1.1120706796646118,-6.097459606563343,7560.0,4640,-7261.309134860002,0.9995232224464417,0.0014516152,1e-05,0.0005155544376012745
6804,295,466,2013120,-0.0028231191349571898,0.2,-0.05858251079916954,0.0039751838235294115,1.1115258932113647,-6.097803636158214,7560.0,4650,-7262.80557501,0.9927842020988464,0.0032925073,1e-05,0.00040278423210325214
6817,295,467,2017440,-0.0020515887176289277,0.2,-0.08543821424245834,0.007261029411764706,1.1121411323547363,-6.097772966412937,7560.0,4660,-7262.80557501,0.9994652271270752,0.002983507,1e-05,0.0005867460415174719
6833,295,468,2021760,-0.002276789893478374,0.2,-0.09032805263996124,0.006594669117647059,1.1125781536102295,-6.099678104765275,7560.0,4670,-7233.321524420001,0.9909587502479553,0.0034582007,1e-05,0.0005692216426455963
6848,295,469,2026080,-0.0013589818989310195,0.2,-0.060099996626377106,0.0004136029411764706,1.1131176948547363,-6.101435565247256,7560.0,4680,-7204.102039910001,0.9992857575416565,0.0014878949,1e-05,0.0007740674217690385
6862,295,470,2030400,-0.0029190110837054605,0.2,-0.06805221736431122,0.006341911764705882,1.1129961013793945,-6.102147854075712,7560.0,4690,-7204.102039910001,0.9992393255233765,0.0039930143,1e-05,0.0003265474406790043
6877,295,471,2034720,-0.002835523456280284,0.2,-0.04737777262926102,0.009168198529411765,1.1137256622314453,-6.103256907883813,7560.0,4700,-7148.7439768799995,0.9993364810943604,0.0031021566,1e-05,0.0006959827332192457
6890,295,472,2039040,-0.0016588579740046579,0.2,-0.055026911199092865,0.0022748161764705884,1.1139920949935913,-6.105004004871144,7560.0,4710,-7148.7439768799995,0.9994816780090332,0.001765885,1e-05,0.0005297785461580669
6905,295,473,2043360,-0.0025436026441371614,0.2,-0.09819605946540833,0.007352941176470588,1.114099144935608,-6.105707824931425,7560.0,4720,-7083.241818029999,0.9868303537368774,0.0034636406,1e-05,0.000609456472332514
6919,295,474,2047680,-0.001647953232339419,0.2,-0.06341251730918884,0.0006663602941176471,1.1143784523010254,-6.1063364996629605,7560.0,4730,-7083.241818029999,0.9994415044784546,0.0013034339,1e-05,0.0005321368555408245
6934,295,475,2052000,-0.003902498573434594,0.2,-0.0585964098572731,0.01633731617647059,1.1146812438964844,-6.107447387190426,7560.0,4740,-7010.15685435,0.9899110794067383,0.0042213206,1e-05,0.00048574105796219286
6949,295,476,2056320,-0.0019005389014423331,0.2,-0.06539174914360046,0.0027113970588235293,1.114699363708496,-6.107929607699899,7560.0,4750,-6933.00090603,0.999250054359436,0.0022161254,1e-05,0.0009837289416549644
6963,295,477,2060640,-0.002475378480876851,0.2,-0.0776745080947876,0.009076286764705883,1.1146897077560425,-6.107928889639237,7560.0,4760,-6933.00090603,0.9994117021560669,0.0039594336,1e-05,0.00037519037262373944
6978,295,478,2064960,-0.00449133031652309,0.2,-0.09173513948917389,0.017761948529411764,1.114689826965332,-6.107873164204991,7560.0,4770,-6848.5308345799995,0.9991937279701233,0.0053622345,1e-05,0.0008588233590725234
6994,295,479,2069280,-0.0034302035411682857,0.2,-0.10099281370639801,0.0109375,1.114330768585205,-6.107320278532365,7560.0,4780,-6848.5308345799995,0.9994205832481384,0.004163005,1e-05,0.0005280189265142647
7012,295,480,2073600,-0.0017698460951899452,0.2,-0.05361704155802727,0.0031939338235294117,1.1152675151824951,-6.108201340366812,7560.0,4790,-6763.10072188,0.9832908511161804,0.002846774,1e-05,0.00041394610861436164
7026,295,481,2077920,-0.003529322541469489,0.2,-0.05495899170637131,0.01762408088235294,1.1150577068328857,-6.109196839613073,7560.0,4800,-6763.10072188,0.9993060231208801,0.0035849356,1e-05,0.0006567208367735421
7043,295,482,2082240,-0.0041796677502776115,0.2,-0.07997117191553116,0.02392003676470588,1.1153725385665894,-6.109821198267095,7560.0,4810,-6669.14107077,0.9946126341819763,0.0042729713,1e-05,0.00031412298825778313
7059,295,483,2086560,-0.0022486870615359613,0.2,-0.0731697753071785,0.00471047794117647,1.1158864498138428,-6.111207553218393,7560.0,4820,-6577.75775764,0.9994872808456421,0.0033711868,1e-05,0.0005289682751026703
7075,295,484,2090880,-0.0020620616673327546,0.2,-0.08588995784521103,0.0009191176470588235,1.1166073083877563,-6.113370274796205,7560.0,4830,-6577.75775764,0.9994899034500122,0.0021105052,1e-05,0.00035782357457826627
7092,295,485,2095200,-0.0023293026924982446,0.2,-0.07430925965309143,0.005445772058823529,1.116811752319336,-6.115152981000788,7560.0,4840,-6477.518415399998,0.9993257522583008,0.0028218264,1e-05,0.0005832096496091896
7107,295,486,2099520,-0.0023546611975796303,0.2,-0.06555454432964325,0.0038143382352941175,1.1164120435714722,-6.1147169856464165,7560.0,4850,-6477.518415399998,0.9995715022087097,0.0029411293,1e-05,0.0003862797602350303
