time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/explained_variance,train/std,rollout/ep_rew_mean,train/approx_kl,train/loss,train/clip_fraction,train/clip_range,train/learning_rate,train/value_loss,train/n_updates,train/entropy_loss,train/policy_gradient_loss,rollout/ep_len_mean
436320,1380,315,101,0.9975735545158386,0.8786813616752625,-6123.869390789474,0.0042398935,-0.008662257343530655,0.04296296226675622,0.2,0.0005,0.014736471301876008,1000,-5.144350695610046,-0.004425330566904151,7560.0
440640,1393,316,102,0.9969328045845032,0.8773137927055359,-6092.927317758621,0.005037566,-0.005532571114599705,0.02768518525408581,0.2,0.0005,0.012816448276862503,1010,-5.134120655059815,-0.002988327539357982,7560.0
444960,1405,316,103,0.9986679553985596,0.8767104744911194,-6092.927317758621,0.007859647,-0.010953718796372414,0.084907408253639,0.2,0.0005,0.010248784557916224,1020,-5.129587125778198,-0.005968601110389216,7560.0
449280,1418,316,104,0.996212899684906,0.8772006034851074,-6064.227492322035,0.0048184847,-0.005498228128999472,0.033495370496530084,0.2,0.0005,0.01312428634846583,1030,-5.127625751495361,-0.0021765511315393836,7560.0
453600,1431,316,105,0.9984644651412964,0.8751066327095032,-6037.38551205,0.008799339,-0.011506480164825916,0.07157407403865364,0.2,0.0005,0.011589208233635873,1040,-5.126682782173157,-0.006324774955261336,7560.0
457920,1442,317,106,0.9961065649986267,0.8723099231719971,-6037.38551205,0.008295081,-0.007353625260293484,0.06967592649161816,0.2,0.0005,0.013268916530068963,1050,-5.112788677215576,-0.004992815323241473,7560.0
462240,1455,317,107,0.9984315037727356,0.8736661672592163,-6010.805890475411,0.008330814,-0.009329098276793957,0.07252314924262464,0.2,0.0005,0.012034489400684833,1060,-5.107416820526123,-0.006553940157647276,7560.0
466560,1466,318,108,0.9965589046478271,0.8756219744682312,-6010.805890475411,0.0063278126,-0.013914586044847965,0.07118055576866027,0.2,0.0005,0.01462901891209185,1070,-5.11806333065033,-0.006523139108003661,7560.0
470880,1479,318,109,0.9960126280784607,0.876268208026886,-5986.638456870968,0.008206005,-0.010804343968629837,0.07733796208631247,0.2,0.0005,0.015920464973896743,1080,-5.124175405502319,-0.006494299948336035,7560.0
475200,1490,318,110,0.9979309439659119,0.8792032599449158,-5986.638456870968,0.004981503,-0.012765297666192055,0.08405092626344413,0.2,0.0005,0.013170578167773783,1090,-5.1292123079299925,-0.007689163134847377,7560.0
479520,1503,318,111,0.9957417845726013,0.8824483156204224,-5961.254743698412,0.006182311,-0.005930551793426275,0.04916666686476674,0.2,0.0005,0.013388038519769907,1100,-5.146647477149964,-0.004448622535597258,7560.0
483840,1516,319,112,0.9984660744667053,0.8823784589767456,-5935.68630325,0.0062650787,-0.010267576202750206,0.06196759258746169,0.2,0.0005,0.010448061616625638,1110,-5.154427862167358,-0.006437267053902529,7560.0
488160,1527,319,113,0.9952496886253357,0.8832606077194214,-5935.68630325,0.007162556,-0.006226313766092062,0.0793287039588904,0.2,0.0005,0.012496895529329777,1120,-5.153922104835511,-0.006349426254854329,7560.0
492480,1540,319,114,0.9984310269355774,0.8837054371833801,-5915.629752123076,0.008076623,-0.009218051098287106,0.07638888854417018,0.2,0.0005,0.01238998482003808,1130,-5.158462858200073,-0.006837385745861369,7560.0
496800,1551,320,115,0.9973249435424805,0.8846749067306519,-5915.629752123076,0.0052809017,-0.004572913516312838,0.056064814710407515,0.2,0.0005,0.02108986731618643,1140,-5.162423157691956,-0.0047571322591370094,7560.0
501120,1565,320,116,0.996433675289154,0.8841411471366882,-5892.129873530303,0.0064689573,-0.007970774546265602,0.04877314852492418,0.2,0.0005,0.013686459907330573,1150,-5.164312696456909,-0.00526568108051535,7560.0
505440,1576,320,117,0.9979382157325745,0.8828864097595215,-5892.129873530303,0.0071560508,-0.007063786964863539,0.048564814700512215,0.2,0.0005,0.017939360649324953,1160,-5.161201620101929,-0.005553372894482322,7560.0
509760,1589,320,118,0.9907054305076599,0.8820763826370239,-5872.186880597014,0.005936154,-0.005456498358398676,0.03442129659815692,0.2,0.0005,0.022960152523592115,1170,-5.157290816307068,-0.004216022050707124,7560.0
514080,1602,320,119,0.9937295317649841,0.8810961246490479,-5856.327516897059,0.0063221157,-0.004742867778986692,0.03166666660399642,0.2,0.0005,0.025796849047765136,1180,-5.152506184577942,-0.0034282852530141293,7560.0
518400,1613,321,120,0.9938830137252808,0.8820878863334656,-5856.327516897059,0.007597789,-0.009207048453390598,0.04907407376449555,0.2,0.0005,0.021247361530549826,1190,-5.150925207138061,-0.005345054396117632,7560.0
522720,1626,321,121,0.995884895324707,0.8827602863311768,-5836.989989608695,0.0038472516,-0.007188965100795031,0.03532407402526587,0.2,0.0005,0.024074232997372748,1200,-5.155376839637756,-0.0036326149304848343,7560.0
527040,1637,321,122,0.9938613176345825,0.8842111825942993,-5836.989989608695,0.006865597,-0.005830697249621153,0.06712962954770774,0.2,0.0005,0.024135764013044535,1210,-5.157659912109375,-0.005343519303359301,7560.0
531360,1650,321,123,0.9919068217277527,0.8850016593933105,-5826.377273842856,0.0072612376,-0.012011339887976646,0.12215277832583524,0.2,0.0005,0.02263255147263408,1220,-5.163270020484925,-0.008438645439629067,7560.0
535680,1662,322,124,0.9915823340415955,0.8837777972221375,-5826.377273842856,0.005719632,-0.0023540062829852104,0.040347222093259916,0.2,0.0005,0.028609275911003353,1230,-5.163495373725891,-0.002983020091469868,7560.0
540000,1675,322,125,0.9896625876426697,0.8834876418113708,-5810.634891788732,0.00546901,-0.01297922246158123,0.10814814793411642,0.2,0.0005,0.019181360863149165,1240,-5.156237649917602,-0.008481904348181857,7560.0
544320,1688,322,126,0.9918609857559204,0.8861785531044006,-5805.353827652778,0.005487494,-0.0073076579719781876,0.07634259250480682,0.2,0.0005,0.021167508605867625,1250,-5.161267614364624,-0.006376573684047493,7560.0
548640,1699,322,127,0.9670406579971313,0.8852640390396118,-5805.353827652778,0.0079050725,-0.002417902462184429,0.06250000048312358,0.2,0.0005,0.04151982730254531,1260,-5.168378257751465,-0.004460085337971975,7560.0
