time/time_elapsed,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/total_timesteps,train/entropy_loss,train/loss,train/learning_rate,train/approx_kl,train/explained_variance,train/clip_fraction,train/n_updates,train/clip_range,train/policy_gradient_loss,train/value_loss,train/std
1452,51,-20634.680345666664,8640.0,303,440640,-7.415786022256921,-0.3866119384765625,5e-05,0.004800864,0.9991158246994019,0.02539351851851852,500,0.2,-0.0043972247318985564,0.0017933450212822882,1.6111851930618286
1477,52,-20573.10641305769,8640.0,304,449280,-7.447044754028321,-0.366304486989975,5e-05,0.005199472,0.9991327524185181,0.0334375,510,0.2,-0.003941781910101849,0.0019610615730440866,1.6327426433563232
1502,53,-20512.984251320748,8640.0,304,457920,-7.479409843374182,-0.38327106833457947,5e-05,0.0041500535,0.9991662502288818,0.01871527777777778,520,0.2,-0.003829699021384672,0.0022532026999612788,1.6448144912719727
1527,54,-20451.634703740736,8640.0,305,466560,-7.500628893110488,-0.38570114970207214,5e-05,0.005081411,0.9991562962532043,0.029131944444444443,530,0.2,-0.005844487126278519,0.0018495802078999717,1.6570799350738525
1553,55,-20397.320122581812,8640.0,305,475200,-7.523210408599288,-0.39451324939727783,5e-05,0.0048211627,0.999293863773346,0.025798611111111112,540,0.2,-0.004621628749063584,0.0019170469265534645,1.669022798538208
1577,56,-20337.96060994643,8640.0,306,483840,-7.537014961595888,-0.40580788254737854,5e-05,0.005420176,0.9991859197616577,0.03283564814814815,550,0.2,-0.006704619948890198,0.0019421118685837696,1.6771165132522583
1602,57,-20276.990963280703,8640.0,307,492480,-7.550033497633757,-0.3676462769508362,5e-05,0.0044738017,0.9993178844451904,0.029930555555555554,560,0.2,-0.00521281891623167,0.0019583212846838354,1.6874146461486816
1627,58,-20226.307240275863,8640.0,307,501120,-7.565530605316162,-0.3923499286174774,5e-05,0.005148568,0.9992702007293701,0.03436342592592593,570,0.2,-0.004944240830286785,0.001851956656297531,1.695725440979004
1652,59,-20164.70523459322,8640.0,308,509760,-7.5845170995924205,-0.4035102427005768,5e-05,0.0036502618,0.9992817640304565,0.018368055555555554,580,0.2,-0.0037819411907414045,0.0016192591224400395,1.7105798721313477
1676,60,-20105.933470250002,8640.0,309,518400,-7.6081253765247485,-0.3684852123260498,5e-05,0.005347733,0.9991331100463867,0.035069444444444445,590,0.2,-0.005906828537548858,0.0017267018387577048,1.7271308898925781
1701,61,-20050.239893295085,8640.0,309,527040,-7.6244872619487625,-0.3820223808288574,5e-05,0.003816413,0.9992058873176575,0.019328703703703702,600,0.2,-0.004093594451745351,0.0017467019648756833,1.7374789714813232
1726,62,-19996.481356483873,8640.0,310,535680,-7.649140695642542,-0.41228342056274414,5e-05,0.0044353236,0.999194324016571,0.01875,610,0.2,-0.003190663238056004,0.0017619089970658361,1.7576451301574707
1751,63,-19949.343946761906,8640.0,310,544320,-7.676992936664157,-0.39249569177627563,5e-05,0.004588549,0.9992172718048096,0.023541666666666666,620,0.2,-0.0038900623375687886,0.0015360980286452644,1.7734817266464233
1777,64,-19901.576514203123,8640.0,311,552960,-7.696643486022949,-0.39553093910217285,5e-05,0.003942296,0.9989238381385803,0.018298611111111113,630,0.2,-0.004048916646796796,0.0019105541825518702,1.7864940166473389
1803,65,-19855.04854913846,8640.0,311,561600,-7.714574114834821,-0.3979812264442444,5e-05,0.0037337807,0.9991992712020874,0.014166666666666666,640,0.2,-0.0036990903668036616,0.001987155123044633,1.7994707822799683
1830,66,-19805.54592319697,8640.0,311,570240,-7.73753719329834,-0.4197034239768982,5e-05,0.0045940685,0.999089241027832,0.029930555555555554,650,0.2,-0.004450861283371018,0.0014562055748387206,1.8176487684249878
1857,67,-19753.926991044773,8640.0,311,578880,-7.763087638925623,-0.4144692122936249,5e-05,0.00589437,0.9992203712463379,0.038935185185185184,660,0.2,-0.006219195832187931,0.0015259643650130817,1.832187294960022
1885,68,-19709.802601647058,8640.0,311,587520,-7.784669155544705,-0.39643236994743347,5e-05,0.0052358285,0.999251663684845,0.03128472222222222,670,0.2,-0.005512268557558181,0.0016046396157859515,1.84770667552948
1913,69,-19661.915348942028,8640.0,311,596160,-7.80777573161655,-0.4135286509990692,5e-05,0.005041737,0.9990053772926331,0.026377314814814815,680,0.2,-0.0052535994999386645,0.0014192189898393633,1.8650230169296265
1941,70,-19622.049706842856,8640.0,311,604800,-7.823130709330241,-0.3905389606952667,5e-05,0.0052975165,0.9991819262504578,0.03238425925925926,690,0.2,-0.00641991353817974,0.0015290724614600616,1.876359224319458
1969,71,-19578.866321478872,8640.0,311,613440,-7.84581215399283,-0.39665332436561584,5e-05,0.0056274883,0.9992296695709229,0.03813657407407407,700,0.2,-0.004366493820023068,0.0013280013246737697,1.8942029476165771
1997,72,-19538.06201558333,8640.0,311,622080,-7.875379120862043,-0.4119231700897217,5e-05,0.0048769517,0.9992775917053223,0.029456018518518517,710,0.2,-0.004508610578357345,0.0014401256231832559,1.9128665924072266
2025,73,-19496.11179117808,8640.0,311,630720,-7.901995055233991,-0.40962275862693787,5e-05,0.0042945165,0.9993195533752441,0.02511574074074074,720,0.2,-0.004011081682466384,0.0012744758660577376,1.9279701709747314
2053,74,-19456.326870418918,8640.0,311,639360,-7.936805585578636,-0.40425148606300354,5e-05,0.004560607,0.9992235898971558,0.021064814814814814,730,0.2,-0.0034524525005232404,0.0014448288540976743,1.953877329826355
2081,75,-19410.6905696,8640.0,311,648000,-7.974342088699341,-0.38440248370170593,5e-05,0.004334721,0.9993435144424438,0.022476851851851852,740,0.2,-0.004640791289059928,0.0013784529930153102,1.9759794473648071
2109,76,-19375.10999653947,8640.0,311,656640,-7.99829205583643,-0.38472023606300354,5e-05,0.0043420712,0.9993741512298584,0.024120370370370372,750,0.2,-0.003976446092818622,0.0013206845189496462,1.989794373512268
2139,77,-19343.054111532467,8640.0,310,665280,-8.018540068025942,-0.424392968416214,5e-05,0.0048526456,0.9992814064025879,0.03113425925925926,760,0.2,-0.0045757484949987244,0.0015659359518731771,2.011794090270996
2169,78,-19314.294816102563,8640.0,310,673920,-8.053256446697095,-0.39871612191200256,5e-05,0.005155402,0.9988515377044678,0.031967592592592596,770,0.2,-0.005086377378967073,0.002145291012323772,2.0345163345336914
2197,79,-19309.025537936708,8640.0,310,682560,-8.10806974057798,-0.420801043510437,5e-05,0.005686087,0.9985795617103577,0.03523148148148148,780,0.2,-0.0059592036163020464,0.003629643908115449,2.0732357501983643
2225,80,-19298.0449499125,8640.0,310,691200,-8.169781614939371,-0.4095768630504608,5e-05,0.0048844083,0.9959753155708313,0.022175925925925925,790,0.2,-0.003981557524142166,0.004736634201490906,2.104257345199585
2254,81,-19295.816138382714,8640.0,310,699840,-8.229005397514062,-0.4148350954055786,5e-05,0.004144831,0.996626615524292,0.022546296296296297,800,0.2,-0.0037773436211325506,0.0049323745249529125,2.1389236450195312
2282,82,-19300.942079085362,8640.0,310,708480,-8.284343273021557,-0.42633184790611267,5e-05,0.004510762,0.9977030158042908,0.029861111111111113,810,0.2,-0.004662883003345794,0.0033290651991652945,2.169828414916992
2311,83,-19305.267268807227,8640.0,310,717120,-8.339449640203405,-0.4256194829940796,5e-05,0.005008847,0.9971120357513428,0.02675925925925926,820,0.2,-0.005065854181259595,0.0045556318063150955,2.2019271850585938
2340,84,-19315.304591999997,8640.0,310,725760,-8.39168773651123,-0.4161616563796997,5e-05,0.0048012333,0.997564435005188,0.03450231481481481,830,0.2,-0.005342046215750829,0.003784547944949871,2.229987621307373
2368,85,-19317.24362223529,8640.0,310,734400,-8.440705248514812,-0.44319939613342285,5e-05,0.0048672063,0.9970218539237976,0.02533564814814815,840,0.2,-0.004389375648633749,0.005968291184140577,2.2602460384368896
2398,86,-19326.542341558135,8640.0,309,743040,-8.493702800892018,-0.4508431851863861,5e-05,0.0037969025,0.9977626800537109,0.021840277777777778,850,0.2,-0.0041464008635806815,0.0036726644391159493,2.2924294471740723
2427,87,-19322.011455528733,8640.0,309,751680,-8.545695074575919,-0.44191211462020874,5e-05,0.005678101,0.998024046421051,0.03462962962962963,860,0.2,-0.004681019864769445,0.0033698274678964583,2.3240699768066406
2456,88,-19343.559718681816,8640.0,309,760320,-8.592153319606075,-0.4392760396003723,5e-05,0.004664001,0.9979172945022583,0.02440972222222222,870,0.2,-0.004172168933889932,0.003354375592036242,2.3541228771209717
2485,89,-19337.46778452809,8640.0,309,768960,-8.636909414927164,-0.4468885362148285,5e-05,0.00439867,0.9968084096908569,0.018969907407407408,880,0.2,-0.004202613292641386,0.005252497468695596,2.386058807373047
2513,90,-19318.01131462222,8640.0,309,777600,-8.680261404955829,-0.423260897397995,5e-05,0.0049246,0.998190701007843,0.029872685185185186,890,0.2,-0.003737641861834736,0.0032160273531486316,2.4134066104888916
2542,91,-19292.242509626372,8640.0,309,786240,-8.722721388781512,-0.41793450713157654,5e-05,0.005412145,0.9989578127861023,0.032303240740740743,900,0.2,-0.003936785241519964,0.002194441357989692,2.4479317665100098
2571,92,-19269.794126728262,8640.0,309,794880,-8.759020067850749,-0.45322564244270325,5e-05,0.00585757,0.9995708465576172,0.03690972222222222,910,0.2,-0.005559888273581034,0.0017988644640340849,2.475656747817993
2599,93,-19246.364668333335,8640.0,309,803520,-8.7849194350066,-0.45653581619262695,5e-05,0.0060607363,0.9996325373649597,0.040289351851851854,920,0.2,-0.005173897361382842,0.0016303274470502165,2.4974241256713867
2628,94,-19224.1464576383,8640.0,308,812160,-8.803624079668964,-0.45114392042160034,5e-05,0.004178247,0.9996026158332825,0.023194444444444445,930,0.2,-0.00354334591905138,0.001480231400432617,2.5149927139282227
2657,95,-19202.1712558,8640.0,308,820800,-8.822057752962465,-0.45620983839035034,5e-05,0.0050248746,0.9995833039283752,0.03395833333333333,940,0.2,-0.00521316832345393,0.001742940056655142,2.541349172592163
2686,96,-19179.126065510416,8640.0,308,829440,-8.8438151606807,-0.4546394646167755,5e-05,0.004829593,0.9996433258056641,0.02306712962962963,950,0.2,-0.004319553138446753,0.0014089265526962226,2.570408821105957
2715,97,-19155.999022206186,8640.0,308,838080,-8.863048082281042,-0.4653845429420471,5e-05,0.005191541,0.9996163845062256,0.03875,960,0.2,-0.005977046948650645,0.0015916777546603784,2.5934507846832275
